Cus.ID,Date,Cus. Location,Age,Gender,Mobile Name,Sell Price,Does he/she Come from Facebook Page?,Does he/she Followed Our Page?,Did he/she buy any mobile before?,Did he/she hear of our shop before?
86,29-05-2024,Outside Rangamati,25,F,Note 14 Pro 5G 8/256,36465.0,Yes,Yes,No,No
87,29-05-2024,Rangamati Sadar,48,M,Vivo Y200 5G 6/128,22894.0,Yes,No,Yes,No
88,29-05-2024,Inside Rangamati,25,M,Galaxy A55 5G 8/128,26163.0,No,Yes,No,No
89,29-05-2024,Outside Rangamati,27,F,Galaxy A55 5G 8/128,13908.0,Yes,No,No,Yes
90,29-05-2024,Outside Rangamati,25,F,Pixel 8 Pro 12/256,60625.0,No,Yes,No,No
91,29-05-2024,Outside Rangamati,25,M,Note 14 Pro 5G 8/256,21198.0,No,Yes,No,Yes
92,29-05-2024,Rangamati Sadar,41,F,Vivo T3x 5G 8/128,18995.0,No,Yes,No,No
93,29-05-2024,Rangamati Sadar,48,M,iQOO Z7 5G 6/128,22053.0,Yes,No,No,No
94,29-05-2024,Inside Rangamati,31,M,Note 14 Pro 5G 8/256,21682.0,No,Yes,No,Yes
95,29-05-2024,Inside Rangamati,26,F,Galaxy M35 5G 8/128,19670.0,No,No,No,Yes
96,29-05-2024,Outside Rangamati,32,M,Moto G85 5G 8/128,26107.0,Yes,No,No,Yes
97,29-05-2024,Outside Rangamati,46,M,Moto G85 5G 8/128,16888.0,Yes,Yes,No,No
98,29-05-2024,Inside Rangamati,34,F,iQOO Z7 5G 6/128,21507.0,No,No,Yes,Yes
99,29-05-2024,Outside Rangamati,41,F,Moto G85 5G 8/128,26223.0,No,No,No,No
100,30-05-2024,Rangamati Sadar,25,F,R-70 Turbo 5G 6/128,16267.0,No,No,No,Yes
101,30-05-2024,Outside Rangamati,30,M,Pixel 8 Pro 12/256,13729.0,Yes,No,No,No
102,30-05-2024,Outside Rangamati,40,F,Galaxy A55 5G 8/128,21392.0,Yes,No,No,No
103,30-05-2024,Rangamati Sadar,30,M,Redmi Note 12 Pro 8/128,24270.0,No,No,No,Yes
104,30-05-2024,Inside Rangamati,25,F,Vivo T3x 5G 8/128,26042.0,No,No,No,Yes
105,30-05-2024,Outside Rangamati,34,F,Galaxy A55 5G 8/128,24364.0,No,Yes,Yes,No
106,30-05-2024,Rangamati Sadar,38,F,Galaxy S24 Ultra 12/256,33068.0,No,No,No,Yes
107,30-05-2024,Rangamati Sadar,44,F,Note 14 Pro 5G 8/256,23617.0,Yes,No,Yes,No
108,30-05-2024,Rangamati Sadar,34,F,iQOO Neo 9 Pro 5G 12/256,23148.0,No,No,No,Yes
109,30-05-2024,Inside Rangamati,49,M,Pixel 8 Pro 12/256,18818.0,No,No,Yes,Yes
110,30-05-2024,Rangamati Sadar,39,M,Note 11S 6/128,18704.0,No,No,No,No
111,30-05-2024,Outside Rangamati,19,F,iPhone 16 Pro 256GB,21210.0,No,No,No,Yes
112,30-05-2024,Inside Rangamati,46,M,Redmi Note 12 Pro 8/128,19179.0,No,Yes,No,Yes
113,30-05-2024,Inside Rangamati,48,F,Vivo Y200 5G 6/128,18032.0,No,No,No,No
114,30-05-2024,Rangamati Sadar,23,M,iQOO Z7 5G 6/128,20830.0,No,Yes,No,Yes
115,30-05-2024,Outside Rangamati,36,M,Pixel 7a 8/128,20550.0,No,Yes,No,Yes
116,30-05-2024,Rangamati Sadar,23,M,iPhone 16 Pro Max 1TB,200333.0,Yes,Yes,Yes,Yes
117,30-05-2024,Rangamati Sadar,21,M,Narzo N53 4/64,13283.0,Yes,Yes,No,Yes
118,30-05-2024,Outside Rangamati,30,F,Redmi Note 12 Pro 8/128,27815.0,Yes,Yes,No,Yes
119,30-05-2024,Rangamati Sadar,28,M,Galaxy A55 5G 8/128,22226.0,Yes,Yes,No,No
120,30-05-2024,Rangamati Sadar,47,M,iPhone 16 Pro 256GB,26762.0,No,Yes,No,No
121,30-05-2024,Inside Rangamati,18,M,R-70 Turbo 5G 6/128,17011.0,Yes,Yes,No,No
122,30-05-2024,Inside Rangamati,36,F,Moto G85 5G 8/128,18321.0,No,No,No,No
123,30-05-2024,Rangamati Sadar,25,F,Pixel 7a 8/128,25114.0,No,Yes,Yes,No
124,30-05-2024,Rangamati Sadar,41,F,Vivo T3x 5G 8/128,13256.0,Yes,Yes,No,Yes
125,30-05-2024,Rangamati Sadar,42,M,Redmi Note 12 Pro 8/128,17260.0,Yes,Yes,Yes,Yes
126,30-05-2024,Rangamati Sadar,42,F,Moto G85 5G 8/128,13733.0,No,No,No,No
127,31-05-2024,Outside Rangamati,23,M,Galaxy S24 Ultra 12/256,15219.0,Yes,No,Yes,Yes
128,31-05-2024,Outside Rangamati,49,F,R-70 Turbo 5G 6/128,21658.0,Yes,No,Yes,No
129,31-05-2024,Rangamati Sadar,34,M,Redmi Note 12 Pro 8/128,13211.0,Yes,Yes,No,No
130,31-05-2024,Rangamati Sadar,23,M,Galaxy S24 Ultra 12/256,12927.0,No,Yes,No,No
131,31-05-2024,Rangamati Sadar,33,M,iPhone 16 Pro Max 1TB,74307.0,Yes,No,No,Yes
132,31-05-2024,Outside Rangamati,33,F,Galaxy A55 5G 8/128,20123.0,Yes,Yes,No,No
133,31-05-2024,Inside Rangamati,49,M,iPhone 16 Pro Max 1TB,21682.0,Yes,No,No,Yes
134,31-05-2024,Inside Rangamati,28,F,Note 14 Pro 5G 8/256,24155.0,Yes,Yes,No,No
135,31-05-2024,Inside Rangamati,38,F,Note 14 Pro 5G 8/256,21682.0,No,Yes,Yes,Yes
136,31-05-2024,Inside Rangamati,43,M,iPhone 16 Pro 256GB,23496.0,No,No,No,No
137,31-05-2024,Outside Rangamati,39,F,Vivo T3x 5G 8/128,25850.0,No,No,No,Yes
138,31-05-2024,Inside Rangamati,22,M,Moto G85 5G 8/128,26609.0,No,No,No,Yes
139,31-05-2024,Outside Rangamati,28,F,Galaxy S24 Ultra 12/256,17503.0,Yes,No,No,Yes
140,31-05-2024,Outside Rangamati,43,F,iQOO Neo 9 Pro 5G 12/256,19409.0,No,Yes,No,No
141,31-05-2024,Rangamati Sadar,36,M,Note 14 Pro 5G 8/256,16981.0,No,Yes,No,Yes
142,31-05-2024,Inside Rangamati,41,F,Note 14 Pro 5G 8/256,18771.0,No,No,No,Yes
143,31-05-2024,Inside Rangamati,32,F,Moto G85 5G 8/128,25909.0,No,No,No,Yes
144,31-05-2024,Rangamati Sadar,19,F,Narzo N53 4/64,16755.0,No,Yes,No,Yes
145,31-05-2024,Rangamati Sadar,43,M,Galaxy M35 5G 8/128,23220.0,No,No,Yes,No
146,31-05-2024,Rangamati Sadar,25,M,Galaxy S24 Ultra 12/256,25488.0,No,No,No,No
147,31-05-2024,Outside Rangamati,33,F,Galaxy M35 5G 8/128,26038.0,No,No,No,No
148,31-05-2024,Outside Rangamati,49,F,Galaxy M35 5G 8/128,25295.0,Yes,No,No,Yes
149,31-05-2024,Inside Rangamati,35,F,Galaxy M35 5G 8/128,26616.0,Yes,Yes,Yes,Yes
150,31-05-2024,Rangamati Sadar,47,M,Vivo Y200 5G 6/128,20522.0,No,Yes,No,Yes
151,31-05-2024,Outside Rangamati,44,F,Pixel 7a 8/128,20549.0,No,No,No,No
152,31-05-2024,Rangamati Sadar,48,M,R-70 Turbo 5G 6/128,22339.0,No,No,No,Yes
153,31-05-2024,Outside Rangamati,33,F,Vivo Y200 5G 6/128,20868.0,Yes,No,No,Yes
154,01-06-2024,Inside Rangamati,21,F,Pixel 8 Pro 12/256,68924.0,No,No,No,Yes
155,01-06-2024,Outside Rangamati,19,M,R-70 Turbo 5G 6/128,20713.0,No,Yes,No,No
156,01-06-2024,Inside Rangamati,37,F,iQOO Neo 9 Pro 5G 12/256,24313.0,No,No,Yes,No
157,01-06-2024,Rangamati Sadar,44,F,Vivo T3x 5G 8/128,24706.0,No,No,No,No
158,01-06-2024,Inside Rangamati,32,M,iPhone 16 Pro Max 1TB,22135.0,No,No,Yes,No
159,01-06-2024,Inside Rangamati,42,M,Note 14 Pro 5G 8/256,36106.0,No,No,No,No
160,01-06-2024,Outside Rangamati,24,M,Vivo T3x 5G 8/128,15587.0,Yes,Yes,Yes,Yes
161,01-06-2024,Outside Rangamati,33,M,Vivo Y200 5G 6/128,23578.0,No,Yes,No,No
162,01-06-2024,Outside Rangamati,33,M,Pixel 8 Pro 12/256,71078.0,No,No,No,Yes
163,01-06-2024,Rangamati Sadar,49,M,Pixel 7a 8/128,21240.0,No,No,Yes,Yes
164,01-06-2024,Rangamati Sadar,19,F,iQOO Z7 5G 6/128,20083.0,Yes,No,No,Yes
165,01-06-2024,Inside Rangamati,47,M,Redmi Note 12 Pro 8/128,27333.0,No,Yes,Yes,Yes
166,01-06-2024,Rangamati Sadar,42,F,Pixel 8 Pro 12/256,31441.0,Yes,Yes,No,Yes
167,01-06-2024,Rangamati Sadar,37,M,Note 11S 6/128,24412.0,No,No,Yes,Yes
168,01-06-2024,Rangamati Sadar,25,M,iPhone 16 Pro 256GB,25078.0,No,Yes,No,No
169,01-06-2024,Outside Rangamati,33,F,Galaxy M35 5G 8/128,18919.0,Yes,No,Yes,No
170,01-06-2024,Inside Rangamati,29,F,iQOO Z7 5G 6/128,19692.0,No,Yes,Yes,No
171,01-06-2024,Rangamati Sadar,18,F,Galaxy M35 5G 8/128,17959.0,Yes,No,No,No
172,01-06-2024,Inside Rangamati,43,F,Galaxy A55 5G 8/128,39413.0,No,Yes,No,Yes
173,01-06-2024,Outside Rangamati,35,M,Vivo Y200 5G 6/128,19537.0,Yes,No,No,Yes
174,02-06-2024,Rangamati Sadar,30,M,Note 14 Pro 5G 8/256,36180.0,Yes,Yes,No,No
175,02-06-2024,Inside Rangamati,23,F,Pixel 8 Pro 12/256,17192.0,No,No,Yes,Yes
176,02-06-2024,Inside Rangamati,44,F,Note 14 Pro 5G 8/256,15327.0,No,Yes,No,Yes
177,02-06-2024,Rangamati Sadar,42,M,Vivo Y200 5G 6/128,22996.0,No,No,Yes,Yes
178,02-06-2024,Outside Rangamati,38,M,Galaxy A55 5G 8/128,39598.0,No,Yes,No,Yes
179,02-06-2024,Inside Rangamati,18,F,Narzo N53 4/64,25617.0,No,No,No,Yes
180,02-06-2024,Inside Rangamati,41,M,R-70 Turbo 5G 6/128,24416.0,No,No,No,Yes
181,02-06-2024,Rangamati Sadar,41,M,R-70 Turbo 5G 6/128,22104.0,Yes,No,No,Yes
182,02-06-2024,Outside Rangamati,33,M,Moto G85 5G 8/128,18792.0,No,No,No,Yes
183,02-06-2024,Inside Rangamati,20,M,Moto G85 5G 8/128,19852.0,Yes,Yes,Yes,Yes
184,02-06-2024,Rangamati Sadar,48,M,Pixel 8 Pro 12/256,111419.0,Yes,No,No,No
185,02-06-2024,Inside Rangamati,37,M,Vivo T3x 5G 8/128,13866.0,Yes,Yes,No,Yes
186,02-06-2024,Outside Rangamati,41,F,Narzo N53 4/64,22768.0,No,Yes,No,No
187,02-06-2024,Inside Rangamati,49,F,Moto G85 5G 8/128,26314.0,No,No,No,No
188,02-06-2024,Inside Rangamati,48,F,Galaxy A55 5G 8/128,15337.0,Yes,No,Yes,Yes
189,02-06-2024,Rangamati Sadar,43,F,R-70 Turbo 5G 6/128,24099.0,No,Yes,No,No
190,02-06-2024,Outside Rangamati,36,M,Galaxy A55 5G 8/128,24814.0,No,Yes,Yes,No
191,02-06-2024,Outside Rangamati,47,F,Narzo N53 4/64,15214.0,Yes,No,No,Yes
192,02-06-2024,Inside Rangamati,22,F,R-70 Turbo 5G 6/128,14061.0,No,No,Yes,No
193,02-06-2024,Rangamati Sadar,37,F,Moto G85 5G 8/128,21700.0,Yes,No,No,No
194,02-06-2024,Outside Rangamati,30,F,Moto G85 5G 8/128,24072.0,No,No,Yes,Yes
195,02-06-2024,Rangamati Sadar,18,M,Pixel 7a 8/128,21682.0,No,No,No,Yes
196,02-06-2024,Inside Rangamati,47,M,Vivo T3x 5G 8/128,24670.0,No,No,No,Yes
197,02-06-2024,Inside Rangamati,43,F,R-70 Turbo 5G 6/128,23995.0,Yes,No,Yes,Yes
198,02-06-2024,Inside Rangamati,18,F,Pixel 8 Pro 12/256,12756.0,No,No,No,No
199,02-06-2024,Outside Rangamati,39,M,iPhone 16 Pro 256GB,18954.0,No,Yes,No,Yes
200,02-06-2024,Outside Rangamati,36,M,Pixel 8 Pro 12/256,14857.0,No,No,Yes,Yes
201,03-06-2024,Rangamati Sadar,41,F,Note 14 Pro 5G 8/256,36446.0,No,No,Yes,No
202,03-06-2024,Outside Rangamati,21,F,iPhone 16 Pro 256GB,14858.0,No,Yes,No,Yes
203,03-06-2024,Outside Rangamati,46,F,Pixel 7a 8/128,44515.0,No,No,No,Yes
204,03-06-2024,Outside Rangamati,35,F,Galaxy S24 Ultra 12/256,73490.0,No,No,No,No
205,03-06-2024,Inside Rangamati,41,F,Note 11S 6/128,18633.0,Yes,Yes,No,Yes
206,03-06-2024,Rangamati Sadar,46,M,Moto G85 5G 8/128,21682.0,No,No,No,Yes
207,03-06-2024,Rangamati Sadar,20,M,Galaxy A55 5G 8/128,26589.0,No,No,Yes,Yes
208,03-06-2024,Outside Rangamati,46,M,iPhone 16 Pro 256GB,16809.0,No,No,No,No
209,03-06-2024,Outside Rangamati,26,M,Pixel 7a 8/128,16631.0,No,Yes,No,Yes
210,03-06-2024,Inside Rangamati,22,M,iQOO Neo 9 Pro 5G 12/256,24633.0,Yes,No,Yes,No
211,03-06-2024,Inside Rangamati,31,F,iPhone 16 Pro Max 1TB,73424.0,No,Yes,No,No
212,03-06-2024,Inside Rangamati,43,F,Pixel 7a 8/128,24979.0,Yes,Yes,Yes,No
213,03-06-2024,Rangamati Sadar,42,F,Galaxy S24 Ultra 12/256,21109.0,Yes,No,No,Yes
214,03-06-2024,Rangamati Sadar,28,M,Galaxy S24 Ultra 12/256,37443.0,No,Yes,Yes,Yes
215,03-06-2024,Inside Rangamati,35,M,Pixel 7a 8/128,18207.0,Yes,No,No,Yes
216,03-06-2024,Outside Rangamati,23,M,R-70 Turbo 5G 6/128,19000.0,Yes,Yes,No,No
217,03-06-2024,Outside Rangamati,35,F,R-70 Turbo 5G 6/128,16299.0,Yes,No,No,Yes
218,03-06-2024,Inside Rangamati,19,F,Narzo N53 4/64,12948.0,No,No,No,No
219,03-06-2024,Inside Rangamati,44,F,Moto G85 5G 8/128,20211.0,No,No,No,Yes
220,03-06-2024,Rangamati Sadar,27,M,Vivo T3x 5G 8/128,25630.0,No,Yes,No,Yes
221,03-06-2024,Rangamati Sadar,48,F,Galaxy S24 Ultra 12/256,15285.0,No,Yes,No,Yes
222,03-06-2024,Inside Rangamati,42,F,Moto G85 5G 8/128,20425.0,Yes,No,No,Yes
223,03-06-2024,Rangamati Sadar,34,F,iPhone 16 Pro 256GB,26221.0,No,No,No,Yes
224,03-06-2024,Inside Rangamati,42,F,Galaxy S24 Ultra 12/256,24376.0,No,Yes,No,Yes
225,03-06-2024,Inside Rangamati,28,F,Redmi Note 12 Pro 8/128,22717.0,No,No,Yes,No
226,03-06-2024,Inside Rangamati,30,M,Galaxy S24 Ultra 12/256,19059.0,No,No,No,No
227,03-06-2024,Rangamati Sadar,39,M,iPhone 16 Pro Max 1TB,32889.0,Yes,Yes,No,No
228,04-06-2024,Inside Rangamati,49,M,Note 11S 6/128,18533.0,No,Yes,No,Yes
229,04-06-2024,Rangamati Sadar,26,F,iPhone 16 Pro 256GB,16991.0,Yes,No,Yes,Yes
230,04-06-2024,Outside Rangamati,41,F,Vivo T3x 5G 8/128,18818.0,Yes,Yes,No,Yes
231,04-06-2024,Inside Rangamati,28,F,iPhone 16 Pro Max 1TB,23106.0,Yes,No,No,Yes
232,04-06-2024,Rangamati Sadar,31,M,Pixel 7a 8/128,20044.0,No,Yes,No,Yes
233,04-06-2024,Rangamati Sadar,29,F,Pixel 7a 8/128,14728.0,Yes,Yes,No,Yes
234,04-06-2024,Outside Rangamati,26,F,Pixel 7a 8/128,18714.0,Yes,No,No,Yes
235,04-06-2024,Outside Rangamati,32,M,Pixel 8 Pro 12/256,25180.0,Yes,Yes,No,No
236,04-06-2024,Rangamati Sadar,27,M,Moto G85 5G 8/128,26010.0,No,No,No,Yes
237,04-06-2024,Rangamati Sadar,42,F,R-70 Turbo 5G 6/128,16814.0,Yes,Yes,Yes,Yes
238,04-06-2024,Rangamati Sadar,46,M,Pixel 8 Pro 12/256,111951.0,No,Yes,Yes,No
239,04-06-2024,Inside Rangamati,26,M,iQOO Z7 5G 6/128,13739.0,No,No,Yes,No
240,04-06-2024,Inside Rangamati,33,M,Note 14 Pro 5G 8/256,36060.0,Yes,Yes,No,Yes
241,04-06-2024,Rangamati Sadar,50,F,Note 14 Pro 5G 8/256,25121.0,No,Yes,No,Yes
242,04-06-2024,Outside Rangamati,47,F,iQOO Z7 5G 6/128,19290.0,No,Yes,No,Yes
243,04-06-2024,Outside Rangamati,39,M,iPhone 16 Pro 256GB,23048.0,Yes,No,No,No
244,04-06-2024,Outside Rangamati,37,M,Moto G85 5G 8/128,26212.0,No,Yes,No,Yes
245,04-06-2024,Rangamati Sadar,38,F,R-70 Turbo 5G 6/128,23989.0,No,Yes,Yes,Yes
246,04-06-2024,Inside Rangamati,38,F,iPhone 16 Pro Max 1TB,21682.0,Yes,No,Yes,Yes
247,04-06-2024,Inside Rangamati,43,M,Narzo N53 4/64,13038.0,Yes,Yes,No,No
248,04-06-2024,Rangamati Sadar,49,M,Pixel 8 Pro 12/256,23625.0,No,Yes,No,No
249,04-06-2024,Outside Rangamati,21,F,Galaxy S24 Ultra 12/256,15684.0,No,No,No,Yes
250,04-06-2024,Outside Rangamati,50,F,iQOO Z7 5G 6/128,18411.0,Yes,No,Yes,Yes
251,04-06-2024,Inside Rangamati,24,M,Redmi Note 12 Pro 8/128,15497.0,Yes,No,Yes,Yes
252,04-06-2024,Outside Rangamati,24,F,Vivo T3x 5G 8/128,26027.0,No,No,No,No
253,04-06-2024,Outside Rangamati,33,M,Pixel 7a 8/128,13240.0,Yes,No,No,No
254,04-06-2024,Outside Rangamati,34,F,iPhone 16 Pro Max 1TB,17423.0,No,Yes,No,No
255,04-06-2024,Rangamati Sadar,34,M,iQOO Neo 9 Pro 5G 12/256,14541.0,No,Yes,Yes,Yes
256,04-06-2024,Rangamati Sadar,40,M,Narzo N53 4/64,13442.0,Yes,No,No,Yes
257,04-06-2024,Inside Rangamati,28,F,Pixel 7a 8/128,20891.0,No,No,No,Yes
258,04-06-2024,Rangamati Sadar,45,M,Pixel 7a 8/128,36489.0,No,No,No,Yes
